Client_MAC,Rssi0,Rssi1,Connection_Time,EpocTime
E6:71:85:62:06:38,-61,-65,53112,1476535105
E6:71:85:62:06:70,-63,-71,53356,1476535105
AC:CF:85:28:94:E2,-70,-74,47488,1476535105
54:60:09:2B:81:08,-71,-75,20252,1476535105
54:60:09:F4:21:4A,-79,-80,17292,1476535105
A4:77:33:F8:A2:00,-41,-58,18411,1476535105
54:60:09:F2:D8:92,-80,-81,4960,1476535105
E6:71:85:62:06:38,-61,-65,53172,1476535165
E6:71:85:62:06:70,-64,-71,53416,1476535165
AC:CF:85:28:94:E2,-70,-74,47548,1476535165
54:60:09:2B:81:08,-68,-75,20312,1476535165
54:60:09:F4:21:4A,-76,-77,17352,1476535165
A4:77:33:F8:A2:00,-42,-58,18471,1476535165
54:60:09:F2:D8:92,-80,-81,5020,1476535165
E6:71:85:62:06:38,-61,-64,53232,1476535225
E6:71:85:62:06:70,-64,-71,53476,1476535225
AC:CF:85:28:94:E2,-69,-73,47608,1476535225
54:60:09:2B:81:08,-71,-75,20372,1476535225
54:60:09:F4:21:4A,-79,-80,17412,1476535225
A4:77:33:F8:A2:00,-42,-58,18531,1476535225
54:60:09:F2:D8:92,-79,-81,5080,1476535225
E6:71:85:62:06:38,-60,-64,53292,1476535285
E6:71:85:62:06:70,-64,-71,53536,1476535285
AC:CF:85:28:94:E2,-69,-73,47668,1476535285
54:60:09:2B:81:08,-66,-76,20432,1476535285
54:60:09:F4:21:4A,-74,-75,17472,1476535285
A4:77:33:F8:A2:00,-42,-58,18591,1476535285
54:60:09:F2:D8:92,-80,-81,5140,1476535285
E6:71:85:62:06:38,-60,-64,53352,1476535345
E6:71:85:62:06:70,-64,-70,53596,1476535345
AC:CF:85:28:94:E2,-69,-73,47728,1476535345
54:60:09:2B:81:08,-71,-76,20492,1476535345
54:60:09:F4:21:4A,-71,-72,17532,1476535345
A4:77:33:F8:A2:00,-33,-51,18651,1476535345
54:60:09:F2:D8:92,-80,-80,5200,1476535345
E6:71:85:62:06:38,-61,-65,53415,1476535408
E6:71:85:62:06:70,-64,-71,53659,1476535408
AC:CF:85:28:94:E2,-67,-72,47791,1476535408
