Client_MAC,Rssi0,Rssi1,Connection_Time,EpocTime
A4:77:33:F9:1D:EC,-79,-78,28494,1476587934
A4:77:33:F9:1D:EC,-79,-78,28554,1476587994
A4:77:33:F9:1D:EC,-79,-78,28614,1476588054
A4:77:33:F9:1D:EC,-78,-78,28674,1476588114
A4:77:33:F9:1D:EC,-80,-78,28734,1476588174
A4:77:33:F9:1D:EC,-79,-78,28797,1476588237
A4:77:33:F9:1D:EC,-79,-78,28857,1476588297
A4:77:33:F9:1D:EC,-79,-77,28917,1476588357
A4:77:33:F9:1D:EC,-80,-78,28977,1476588417
A4:77:33:F9:1D:EC,-79,-78,29037,1476588477
A4:77:33:F9:1D:EC,-79,-78,29097,1476588537
A4:77:33:F9:1D:EC,-79,-78,29157,1476588597
A4:77:33:F9:1D:EC,-79,-78,29217,1476588657
A4:77:33:F9:1D:EC,-80,-78,29277,1476588717
A4:77:33:F9:1D:EC,-78,-77,29340,1476588780
A4:77:33:F9:1D:EC,-80,-78,29400,1476588840
A4:77:33:F9:1D:EC,-81,-77,29460,1476588900
A4:77:33:F9:1D:EC,-78,-76,29520,1476588960
A4:77:33:F9:1D:EC,-79,-78,29580,1476589020
A4:77:33:F9:1D:EC,-78,-78,29643,1476589083
A4:77:33:F9:1D:EC,-78,-78,29703,1476589143
A4:77:33:F9:1D:EC,-78,-77,29763,1476589203
A4:77:33:F9:1D:EC,-78,-78,29823,1476589263
A4:77:33:F9:1D:EC,-78,-77,29883,1476589323
A4:77:33:F9:1D:EC,-78,-78,29946,1476589386
A4:77:33:F9:1D:EC,-78,-77,30006,1476589446
A4:77:33:F9:1D:EC,-77,-78,30066,1476589506
A4:77:33:F9:1D:EC,-79,-77,30126,1476589566
A4:77:33:F9:1D:EC,-79,-77,30186,1476589626
A4:77:33:F9:1D:EC,-79,-78,30278,1476589718
A4:77:33:F9:1D:EC,-79,-78,30338,1476589778
A4:77:33:F9:1D:EC,-79,-78,30398,1476589838
A4:77:33:F9:1D:EC,-79,-78,30458,1476589898
A4:77:33:F9:1D:EC,-78,-77,30518,1476589958
A4:77:33:F9:1D:EC,-79,-78,30581,1476590021
A4:77:33:F9:1D:EC,-78,-77,30641,1476590081
A4:77:33:F9:1D:EC,-79,-78,30701,1476590141
A4:77:33:F9:1D:EC,-78,-77,30761,1476590201
A4:77:33:F9:1D:EC,-79,-77,30821,1476590261
A4:77:33:F9:1D:EC,-77,-77,30881,1476590321
A4:77:33:F9:1D:EC,-81,-78,30941,1476590381
A4:77:33:F9:1D:EC,-80,-77,31001,1476590441
A4:77:33:F9:1D:EC,-81,-78,31061,1476590501
A4:77:33:F9:1D:EC,-81,-78,31124,1476590564
A4:77:33:F9:1D:EC,-78,-77,31184,1476590624
A4:77:33:F9:1D:EC,-78,-77,31244,1476590684
A4:77:33:F9:1D:EC,-78,-78,31304,1476590744
A4:77:33:F9:1D:EC,-80,-78,31364,1476590804
A4:77:33:F9:1D:EC,-81,-78,31427,1476590867
A4:77:33:F9:1D:EC,-78,-78,31487,1476590927
A4:77:33:F9:1D:EC,-79,-78,31547,1476590987
A4:77:33:F9:1D:EC,-79,-78,31607,1476591047
A4:77:33:F9:1D:EC,-79,-77,31667,1476591107
A4:77:33:F9:1D:EC,-80,-78,31730,1476591170
A4:77:33:F9:1D:EC,-80,-76,31790,1476591230
A4:77:33:F9:1D:EC,-82,-77,31850,1476591290
A4:77:33:F9:1D:EC,-79,-78,31910,1476591350
A4:77:33:F9:1D:EC,-79,-78,31970,1476591410
A4:77:33:F9:1D:EC,-78,-78,32063,1476591503
A4:77:33:F9:1D:EC,-78,-78,32123,1476591563
A4:77:33:F9:1D:EC,-78,-78,32183,1476591623
A4:77:33:F9:1D:EC,-78,-77,32243,1476591683
A4:77:33:F9:1D:EC,-78,-79,32303,1476591743
A4:77:33:F9:1D:EC,-78,-77,32366,1476591806
A4:77:33:F9:1D:EC,-78,-78,32426,1476591866
A4:77:33:F9:1D:EC,-80,-78,32486,1476591926
A4:77:33:F9:1D:EC,-79,-78,32546,1476591986
A4:77:33:F9:1D:EC,-79,-77,32612,1476592052
A4:77:33:F9:1D:EC,-80,-77,32672,1476592112
A4:77:33:F9:1D:EC,-81,-78,32732,1476592172
A4:77:33:F9:1D:EC,-82,-78,32792,1476592232
A4:77:33:F9:1D:EC,-78,-77,32852,1476592292
A4:77:33:F9:1D:EC,-79,-78,32916,1476592356
A4:77:33:F9:1D:EC,-79,-77,32976,1476592416
A4:77:33:F9:1D:EC,-79,-78,33036,1476592476
A4:77:33:F9:1D:EC,-79,-78,33096,1476592536
A4:77:33:F9:1D:EC,-79,-78,33156,1476592596
A4:77:33:F9:1D:EC,-79,-77,33219,1476592659
A4:77:33:F9:1D:EC,-80,-78,33279,1476592719
A4:77:33:F9:1D:EC,-79,-77,33339,1476592779
A4:77:33:F9:1D:EC,-79,-78,33399,1476592839
A4:77:33:F9:1D:EC,-79,-78,33459,1476592899
A4:77:33:F9:1D:EC,-82,-79,33550,1476592990
A4:77:33:F9:1D:EC,-82,-77,33610,1476593050
A4:77:33:F9:1D:EC,-79,-78,33670,1476593110
A4:77:33:F9:1D:EC,-79,-77,33730,1476593170
A4:77:33:F9:1D:EC,-79,-77,33790,1476593230
A4:77:33:F9:1D:EC,-79,-79,33854,1476593294
A4:77:33:F9:1D:EC,-78,-78,33914,1476593354
A4:77:33:F9:1D:EC,-80,-78,33974,1476593414
A4:77:33:F9:1D:EC,-78,-78,34034,1476593474
A4:77:33:F9:1D:EC,-78,-79,34094,1476593534
A4:77:33:F9:1D:EC,-78,-78,34157,1476593597
A4:77:33:F9:1D:EC,-79,-78,34217,1476593657
A4:77:33:F9:1D:EC,-79,-78,34277,1476593717
A4:77:33:F9:1D:EC,-77,-77,34337,1476593777
A4:77:33:F9:1D:EC,-79,-78,34403,1476593843
A4:77:33:F9:1D:EC,-79,-77,34463,1476593903
A4:77:33:F9:1D:EC,-79,-78,34523,1476593963
A4:77:33:F9:1D:EC,-79,-78,34583,1476594023
A4:77:33:F9:1D:EC,-79,-78,34643,1476594083
A4:77:33:F9:1D:EC,-78,-78,34706,1476594146
A4:77:33:F9:1D:EC,-79,-79,34766,1476594206
A4:77:33:F9:1D:EC,-79,-78,34826,1476594266
A4:77:33:F9:1D:EC,-79,-78,34886,1476594326
A4:77:33:F9:1D:EC,-79,-78,34946,1476594386
A4:77:33:F9:1D:EC,-79,-78,35009,1476594449
A4:77:33:F9:1D:EC,-79,-77,35069,1476594509
A4:77:33:F9:1D:EC,-79,-77,35129,1476594569
A4:77:33:F9:1D:EC,-80,-78,35189,1476594629
A4:77:33:F9:1D:EC,-80,-78,35249,1476594689
A4:77:33:F9:1D:EC,-80,-78,35312,1476594752
A4:77:33:F9:1D:EC,-82,-79,35372,1476594812
A4:77:33:F9:1D:EC,-80,-79,35432,1476594872
A4:77:33:F9:1D:EC,-79,-77,35492,1476594932
A4:77:33:F9:1D:EC,-80,-79,35552,1476594992
A4:77:33:F9:1D:EC,-78,-78,35645,1476595085
A4:77:33:F9:1D:EC,-78,-78,35705,1476595145
A4:77:33:F9:1D:EC,-79,-78,35765,1476595205
A4:77:33:F9:1D:EC,-80,-78,35825,1476595265
A4:77:33:F9:1D:EC,-80,-78,35885,1476595325
A4:77:33:F9:1D:EC,-79,-78,35948,1476595388
A4:77:33:F9:1D:EC,-79,-78,36008,1476595448
A4:77:33:F9:1D:EC,-80,-78,36068,1476595508
A4:77:33:F9:1D:EC,-81,-78,36128,1476595568
A4:77:33:F9:1D:EC,-82,-78,36188,1476595628
A4:77:33:F9:1D:EC,-79,-78,36248,1476595688
A4:77:33:F9:1D:EC,-80,-78,36308,1476595748
A4:77:33:F9:1D:EC,-79,-78,36368,1476595808
A4:77:33:F9:1D:EC,-80,-78,36428,1476595868
A4:77:33:F9:1D:EC,-80,-78,36491,1476595931
A4:77:33:F9:1D:EC,-79,-78,36551,1476595991
A4:77:33:F9:1D:EC,-79,-78,36611,1476596051
A4:77:33:F9:1D:EC,-79,-78,36671,1476596111
A4:77:33:F9:1D:EC,-80,-78,36731,1476596171
A4:77:33:F9:1D:EC,-80,-78,36794,1476596234
A4:77:33:F9:1D:EC,-79,-78,36854,1476596294
A4:77:33:F9:1D:EC,-83,-79,36914,1476596354
A4:77:33:F9:1D:EC,-82,-78,36974,1476596414
A4:77:33:F9:1D:EC,-82,-79,37034,1476596474
A4:77:33:F9:1D:EC,-78,-78,37127,1476596567
A4:77:33:F9:1D:EC,-79,-78,37187,1476596627
A4:77:33:F9:1D:EC,-79,-78,37247,1476596687
A4:77:33:F9:1D:EC,-79,-79,37307,1476596747
A4:77:33:F9:1D:EC,-78,-77,37367,1476596807
A4:77:33:F9:1D:EC,-79,-79,37430,1476596870
A4:77:33:F9:1D:EC,-79,-79,37490,1476596930
A4:77:33:F9:1D:EC,-80,-78,37550,1476596990
A4:77:33:F9:1D:EC,-78,-78,37610,1476597050
A4:77:33:F9:1D:EC,-79,-77,37670,1476597110
A4:77:33:F9:1D:EC,-78,-78,37733,1476597173
A4:77:33:F9:1D:EC,-78,-78,37793,1476597233
A4:77:33:F9:1D:EC,-78,-79,37853,1476597293
A4:77:33:F9:1D:EC,-79,-78,37913,1476597353
A4:77:33:F9:1D:EC,-79,-77,37973,1476597413
A4:77:33:F9:1D:EC,-80,-79,38033,1476597473
A4:77:33:F9:1D:EC,-79,-79,38093,1476597533
A4:77:33:F9:1D:EC,-80,-79,38153,1476597593
