Client_MAC,Rssi0,Rssi1,Connection_Time,EpocTIME
A4:77:33:F8:A1:B8,-62,-74,33,1476482144
A4:77:33:F8:A1:B8,-54,-64,93,1476482204
A4:77:33:F8:A1:B8,-59,-70,153,1476482264
AC:CF:85:28:94:E2,-89,-91,28,1476482264
A4:77:33:F8:A1:B8,-62,-74,213,1476482324
AC:CF:85:28:94:E2,-89,-91,88,1476482324
A4:77:33:F8:A1:B8,-62,-74,276,1476482387
AC:CF:85:28:94:E2,-89,-91,151,1476482387
A4:77:33:F8:A1:B8,-57,-67,336,1476482447
AC:CF:85:28:94:E2,-89,-91,211,1476482447
A4:77:33:F8:A1:B8,-53,-63,396,1476482507
AC:CF:85:28:94:E2,-89,-91,271,1476482507
A4:77:33:F8:A1:B8,-55,-65,456,1476482567
A4:77:33:F8:A1:B8,-57,-67,516,1476482627
A4:77:33:F8:A1:B8,-52,-61,579,1476482691
A4:77:33:F8:A1:B8,-54,-63,639,1476482751
A4:77:33:F8:A1:B8,-54,-63,699,1476482811
A4:77:33:F8:A1:B8,-59,-70,759,1476482871
A4:77:33:F8:A1:B8,-62,-74,819,1476482931
A4:77:33:F8:A1:B8,-58,-68,882,1476482994
A4:77:33:F8:A1:B8,-59,-69,942,1476483054
A4:77:33:F8:A1:B8,-62,-74,1002,1476483114
AC:CF:85:28:94:E2,-85,-85,20,1476483114
A4:77:33:F8:A1:B8,-60,-71,1062,1476483174
AC:CF:85:28:94:E2,-85,-85,80,1476483174
A4:77:33:F8:A1:B8,-62,-74,1129,1476483240
AC:CF:85:28:94:E2,-85,-85,147,1476483240
A4:77:33:F8:A1:B8,-58,-69,1189,1476483300
AC:CF:85:28:94:E2,-85,-85,207,1476483300
A4:77:33:F8:A1:B8,-55,-65,1249,1476483360
AC:CF:85:28:94:E2,-85,-85,267,1476483360
A4:77:33:F8:A1:B8,-62,-74,1309,1476483420
A4:77:33:F8:A1:B8,-55,-66,1369,1476483480
A4:77:33:F8:A1:B8,-61,-73,1432,1476483543
A4:77:33:F8:A1:B8,-57,-67,1492,1476483603
A4:77:33:F8:A1:B8,-56,-66,1552,1476483663
54:60:09:F2:D8:92,-82,-85,46,1476483663
A4:77:33:F8:A1:B8,-52,-61,1612,1476483723
54:60:09:F2:D8:92,-77,-82,106,1476483723
A4:77:33:F8:A1:B8,-51,-60,1672,1476483783
54:60:09:F2:D8:92,-83,-85,166,1476483783
A4:77:33:F8:A1:B8,-55,-65,1735,1476483846
54:60:09:F2:D8:92,-83,-86,229,1476483846
A4:77:33:F8:A1:B8,-56,-66,1795,1476483906
54:60:09:F2:D8:92,-83,-86,289,1476483906
A4:77:33:F8:A1:B8,-53,-62,1855,1476483966
54:60:09:F2:D8:92,-82,-85,349,1476483966
A4:77:33:F8:A1:B8,-54,-63,1915,1476484026
54:60:09:F2:D8:92,-82,-85,409,1476484026
A4:77:33:F8:A1:B8,-56,-65,1975,1476484086
54:60:09:F2:D8:92,-82,-86,469,1476484086
A4:77:33:F8:A1:B8,-56,-66,2038,1476484149
54:60:09:F2:D8:92,-82,-85,532,1476484149
A4:77:33:F8:A1:B8,-56,-66,2098,1476484209
54:60:09:F2:D8:92,-82,-86,592,1476484209
A4:77:33:F8:A1:B8,-54,-63,2158,1476484269
54:60:09:F2:D8:92,-82,-86,652,1476484269
A4:77:33:F8:A1:B8,-54,-63,2218,1476484329
54:60:09:F2:D8:92,-79,-83,712,1476484329
A4:77:33:F8:A1:B8,-53,-62,2278,1476484389
54:60:09:F2:D8:92,-82,-86,772,1476484389
A4:77:33:F8:A1:B8,-51,-61,2341,1476484452
54:60:09:F2:D8:92,-82,-85,835,1476484452
A4:77:33:F8:A1:B8,-54,-63,2401,1476484512
54:60:09:F2:D8:92,-82,-85,895,1476484512
A4:77:33:F8:A1:B8,-60,-71,2461,1476484572
54:60:09:F2:D8:92,-81,-84,955,1476484572
A4:77:33:F8:A1:B8,-60,-71,2521,1476484632
54:60:09:F2:D8:92,-78,-82,1015,1476484632
A4:77:33:F8:A1:B8,-58,-68,2581,1476484692
54:60:09:F2:D8:92,-73,-79,1075,1476484692
A4:77:33:F8:A1:B8,-56,-65,2675,1476484786
54:60:09:F2:D8:92,-83,-85,1169,1476484786
A4:77:33:F8:A1:B8,-62,-74,2735,1476484846
54:60:09:F2:D8:92,-83,-86,1229,1476484846
A4:77:33:F8:A1:B8,-56,-66,2795,1476484906
54:60:09:F2:D8:92,-82,-86,1289,1476484906
A4:77:33:F8:A1:B8,-55,-65,2855,1476484966
54:60:09:F2:D8:92,-83,-86,1349,1476484966
A4:77:33:F8:A1:B8,-55,-64,2921,1476485032
54:60:09:F2:D8:92,-83,-85,1415,1476485032
A4:77:33:F8:A1:B8,-55,-65,2981,1476485092
54:60:09:F2:D8:92,-82,-86,1475,1476485092
