Wed Oct 19 00:22:25 IST 2016
ra0       get_site_survey:
Ch  SSID                             BSSID               Security               Siganl(%)W-Mode  ExtCH  NT WPS DPID
1   ap                               10:0d:7f:a9:b9:7a   WPA1PSKWPA2PSK/TKIPAES 10       11b/g/n NONE   In YES     
1   sanjaynit                        90:8d:78:c2:ea:29   WPA1PSKWPA2PSK/AES     0        11b/g/n NONE   In YES     
1   MyHome4012                       90:8d:78:cd:b4:a3   WPA1PSKWPA2PSK/AES     5        11b/g/n NONE   In  NO     
1   HILLOL/BD                        70:5a:9e:a6:a6:89   WPA1PSKWPA2PSK/TKIPAES 31       11b/g/n NONE   In  NO     
1   raj                              6c:72:20:f2:14:31   WPA1PSKWPA2PSK/AES     2        11b/g/n NONE   In  NO     
2   Kidar                            78:54:2e:a3:4a:2a   WPA1PSKWPA2PSK/TKIPAES 20       11b/g/n NONE   In YES     
2   SIN                              c0:a0:bb:c7:a4:10   WPA1PSKWPA2PSK/TKIPAES 24       11b/g/n NONE   In YES     
2   Bujji                            10:be:f5:7b:5b:3d   WPA1PSKWPA2PSK/AES     2        11b/g/n NONE   In  NO     
4   gowthami                         60:e3:27:55:ed:66   WPA2PSK/AES            18       11b/g/n ABOVE  In YES     
4   CHETAN                           30:b5:c2:2d:c0:e2   WPA2PSK/AES            60       11b/g/n ABOVE  In YES     
5   NETGEAR18                        28:c6:8e:db:25:3b   WPA2PSK/AES            20       11b/g   NONE   In YES     
5   2012                             e4:6f:13:b7:63:ad   WPA1PSKWPA2PSK/AES     10       11b/g/n NONE   In YES     
5   Ashish                           08:bd:43:64:f5:20   WPA2PSK/AES            7        11b/g/n NONE   In YES     
6   bee..                            e4:71:85:60:0d:ac   WPA2PSK/AES            100      11b/g/n ABOVE  In  NO     
6   bee..                            e4:71:85:60:02:d4   WPA2PSK/AES            100      11b/g/n ABOVE  In  NO     
6   LAKKA                            00:17:7c:30:02:81   WPA2PSK/AES            18       11b/g/n NONE   In YES     
