1,60:03:08:69:46:C4,-49,-47,86,0
Client_MAC,Rssi0,Rssi1,Connection_Time,EpocTIME
E6:71:85:60:00:84,-59,-58,6,115
E6:71:85:60:00:84,-58,-57,37,175
E6:71:85:60:00:84,-58,-58,33,235
E6:71:85:60:00:84,-57,-56,9,295
E6:71:85:60:00:84,-58,-61,5,355
E6:71:85:60:00:84,-58,-58,1,415
E6:71:85:60:00:84,-61,-61,6,475
60:03:08:69:46:C4,-88,-83,14,475
E6:71:85:60:00:84,-59,-58,36,535
60:03:08:69:46:C4,-88,-83,74,535
E6:71:85:60:00:84,-57,-57,32,595
60:03:08:69:46:C4,-88,-83,134,595
E6:71:85:60:00:84,-58,-58,26,655
60:03:08:69:46:C4,-88,-83,194,655
E6:71:85:60:00:84,-57,-58,14,715
E6:71:85:60:00:84,-58,-59,4,775
E6:71:85:60:00:84,-57,-58,64,835
E6:71:85:60:00:84,-56,-60,53,895
E6:71:85:60:00:84,-57,-58,50,955
E6:71:85:60:00:84,-59,-59,46,1015
E6:71:85:60:00:84,-60,-61,34,1075
E6:71:85:60:00:84,-59,-62,23,1135
E6:71:85:60:00:84,-54,-59,13,1195
E6:71:85:60:00:84,-55,-60,9,1255
E6:71:85:60:00:84,-55,-59,5,1315
E6:71:85:60:00:84,-54,-61,1,1375
E6:71:85:60:00:84,-55,-63,51,1435
E6:71:85:60:00:84,-57,-62,41,1495
E6:71:85:60:00:84,-54,-59,31,1555
E6:71:85:60:00:84,-55,-61,27,1615
E6:71:85:60:00:84,-55,-60,23,1675
E6:71:85:60:00:84,-57,-64,12,1735
E6:71:85:60:00:84,-58,-62,60,1855
E6:71:85:60:00:84,-54,-60,50,1915
E6:71:85:60:00:84,-54,-60,46,1975
E6:71:85:60:00:84,-57,-62,42,2035
E6:71:85:60:00:84,-56,-62,31,2095
E6:71:85:60:00:84,-61,-65,18,2155
E6:71:85:60:00:84,-58,-62,8,2215
E6:71:85:60:00:84,-56,-61,4,2275
E6:71:85:60:00:84,-56,-62,64,2335
E6:71:85:60:00:84,-62,-64,60,2395
E6:71:85:60:00:84,-58,-61,49,2456
E6:71:85:60:00:84,-58,-62,36,2516
E6:71:85:60:00:84,-58,-61,26,2576
E6:71:85:60:00:84,-55,-60,22,2636
E6:71:85:60:00:84,-58,-62,16,2696
E6:71:85:60:00:84,-57,-60,7,2756
E6:71:85:60:00:84,-58,-60,53,2876
E6:71:85:60:00:84,-57,-63,43,2936
E6:71:85:60:00:84,-56,-59,37,2996
E6:71:85:60:00:84,-59,-60,33,3056
E6:71:85:60:00:84,-62,-64,25,3116
E6:71:85:60:00:84,-62,-65,11,3176
E6:71:85:60:00:84,-56,-60,59,3296
E6:71:85:60:00:84,-56,-56,55,3356
E6:71:85:60:00:84,-58,-59,51,3416
E6:71:85:60:00:84,-70,-63,42,3476
E6:71:85:60:00:84,-65,-68,29,3536
E6:71:85:60:00:84,-59,-59,13,3596
E6:71:85:60:00:84,-58,-57,17,3656
E6:71:85:60:00:84,-60,-59,12,3716
E6:71:85:60:00:84,-59,-58,8,3776
E6:71:85:60:00:84,-58,-57,4,3836
E6:71:85:60:00:84,-59,-58,0,3896
E6:71:85:60:00:84,-58,-61,42,3956
E6:71:85:60:00:84,-60,-59,56,4016
E6:71:85:60:00:84,-58,-59,52,4076
E6:71:85:60:00:84,-57,-57,48,4136
E6:71:85:60:00:84,-57,-57,44,4196
E6:71:85:60:00:84,-60,-58,25,4256
E6:71:85:60:00:84,-57,-58,16,4316
E6:71:85:60:00:84,-56,-56,12,4376
E6:71:85:60:00:84,-61,-58,8,4436
E6:71:85:60:00:84,-60,-58,4,4496
E6:71:85:60:00:84,0,0,0,4556
E6:71:85:60:00:84,-62,-59,45,4617
E6:71:85:60:00:84,-60,-58,35,4677
E6:71:85:60:00:84,-60,-57,31,4737
E6:71:85:60:00:84,-59,-57,27,4797
E6:71:85:60:00:84,-60,-58,23,4857
E6:71:85:60:00:84,-61,-60,3,4917
E6:71:85:60:00:84,-61,-59,63,4977
E6:71:85:60:00:84,-61,-58,52,5037
E6:71:85:60:00:84,-59,-57,49,5097
E6:71:85:60:00:84,-58,-60,45,5157
E6:71:85:60:00:84,-57,-57,41,5217
E6:71:85:60:00:84,-61,-59,22,5277
E6:71:85:60:00:84,-58,-57,12,5337
E6:71:85:60:00:84,-59,-57,8,5397
E6:71:85:60:00:84,-61,-60,4,5457
E6:71:85:60:00:84,-57,-57,64,5517
E6:71:85:60:00:84,-58,-58,41,5638
E6:71:85:60:00:84,-56,-57,31,5698
E6:71:85:60:00:84,-58,-58,91,5758
E6:71:85:60:00:84,-59,-57,23,5818
E6:71:85:60:00:84,-57,-57,19,5878
E6:71:85:60:00:84,-58,-58,59,5998
E6:71:85:60:00:84,-57,-57,49,6058
E6:71:85:60:00:84,-58,-58,45,6118
E6:71:85:60:00:84,-60,-57,39,6178
E6:71:85:60:00:84,-58,-58,35,6238
E6:71:85:60:00:84,-60,-59,17,6298
E6:71:85:60:00:84,-58,-57,5,6358
E6:71:85:60:00:84,-57,-56,1,6418
E6:71:85:60:00:84,-57,-57,61,6478
E6:71:85:60:00:84,-56,-58,57,6538
E6:71:85:60:00:84,-62,-59,34,6658
E6:71:85:60:00:84,-57,-57,22,6718
E6:71:85:60:00:84,-60,-57,18,6778
E6:71:85:60:00:84,-58,-57,14,6838
E6:71:85:60:00:84,-57,-57,10,6898
E6:71:85:60:00:84,-56,-57,51,7018
E6:71:85:60:00:84,-61,-60,9,7078
E6:71:85:60:00:84,-58,-58,21,7138
E6:71:85:60:00:84,-58,-58,81,7198
E6:71:85:60:00:84,-58,-58,41,7258
E6:71:85:60:00:84,-57,-57,53,7318
E6:71:85:60:00:84,-57,-57,49,7378
E6:71:85:60:00:84,-62,-60,8,7438
E6:71:85:60:00:84,-58,-58,20,7498
E6:71:85:60:00:84,-57,-57,16,7558
E6:71:85:60:00:84,-60,-57,10,7618
E6:71:85:60:00:84,-57,-57,6,7678
E6:71:85:60:00:84,-57,-57,48,7798
E6:71:85:60:00:84,-60,-57,38,7858
E6:71:85:60:00:84,-58,-58,34,7918
E6:71:85:60:00:84,-60,-57,30,7978
E6:71:85:60:00:84,-59,-57,26,8038
E6:71:85:60:00:84,-61,-59,6,8098
E6:71:85:60:00:84,-60,-58,66,8158
E6:71:85:60:00:84,-57,-57,56,8218
E6:71:85:60:00:84,-57,-57,52,8278
E6:71:85:60:00:84,-57,-58,48,8338
E6:71:85:60:00:84,-59,-57,44,8398
E6:71:85:60:00:84,-61,-59,26,8458
E6:71:85:60:00:84,-57,-57,16,8518
E6:71:85:60:00:84,-60,-57,12,8578
E6:71:85:60:00:84,-57,-57,8,8639
E6:71:85:60:00:84,-60,-57,4,8699
E6:71:85:60:00:84,-60,-57,10,8759
E6:71:85:60:00:84,-58,-57,44,8819
E6:71:85:60:00:84,-57,-57,104,8879
E6:71:85:60:00:84,-60,-57,30,8939
E6:71:85:60:00:84,-59,-57,26,8999
E6:71:85:60:00:84,-60,-57,22,9059
E6:71:85:60:00:84,-60,-58,2,9119
E6:71:85:60:00:84,-57,-57,62,9179
E6:71:85:60:00:84,-60,-57,52,9239
E6:71:85:60:00:84,-57,-57,47,9299
E6:71:85:60:00:84,-60,-57,43,9359
E6:71:85:60:00:84,-64,-62,39,9419
E6:71:85:60:00:84,-61,-59,20,9479
E6:71:85:60:00:84,-60,-57,10,9539
E6:71:85:60:00:84,-57,-57,6,9599
E6:71:85:60:00:84,-58,-57,2,9659
E6:71:85:60:00:84,-57,-57,62,9719
E6:71:85:60:00:84,-59,-57,5,9779
E6:71:85:60:00:84,-59,-58,37,9839
E6:71:85:60:00:84,-57,-57,27,9899
E6:71:85:60:00:84,-59,-57,21,9959
E6:71:85:60:00:84,-57,-57,17,10019
E6:71:85:60:00:84,-59,-57,13,10079
E6:71:85:60:00:84,-61,-65,54,10199
E6:71:85:60:00:84,-60,-62,114,10259
E6:71:85:60:00:84,-58,-60,38,10319
5C:E0:C5:C8:D3:D1,-45,-42,57,1476837535
5C:E0:C5:C8:D3:D1,-45,-43,120,1476837599
5C:E0:C5:C8:D3:D1,-52,-50,180,1476837659
30:75:12:BF:95:3C,-41,-28,8,1476837659
5C:E0:C5:C8:D3:D1,-46,-40,240,1476837719
30:75:12:BF:95:3C,-43,-43,68,1476837719
5C:E0:C5:C8:D3:D1,-53,-45,300,1476837779
5C:E0:C5:C8:D3:D1,-49,-43,360,1476837839
5C:E0:C5:C8:D3:D1,-43,-35,423,1476837902
5C:E0:C5:C8:D3:D1,-47,-32,483,1476837962
5C:E0:C5:C8:D3:D1,-53,-51,543,1476838022
5C:E0:C5:C8:D3:D1,-45,-40,603,1476838082
5C:E0:C5:C8:D3:D1,-45,-42,663,1476838142
5C:E0:C5:C8:D3:D1,-45,-42,723,1476838202
5C:E0:C5:C8:D3:D1,-45,-42,783,1476838262
5C:E0:C5:C8:D3:D1,-45,-42,843,1476838322
5C:E0:C5:C8:D3:D1,-45,-42,903,1476838382
5C:E0:C5:C8:D3:D1,-45,-42,966,1476838445
5C:E0:C5:C8:D3:D1,-45,-42,1026,1476838505
5C:E0:C5:C8:D3:D1,-45,-34,57,1476838625
5C:E0:C5:C8:D3:D1,-44,-35,117,1476838685
5C:E0:C5:C8:D3:D1,-47,-35,180,1476838748
5C:E0:C5:C8:D3:D1,-50,-34,240,1476838808
5C:E0:C5:C8:D3:D1,-42,-36,300,1476838868
5C:E0:C5:C8:D3:D1,-40,-33,360,1476838928
5C:E0:C5:C8:D3:D1,-48,-34,420,1476838988
5C:E0:C5:C8:D3:D1,-51,-35,485,1476839052
5C:E0:C5:C8:D3:D1,-51,-35,545,1476839112
5C:E0:C5:C8:D3:D1,-41,-32,2,1476839172
5C:E0:C5:C8:D3:D1,-34,-35,62,1476839232
5C:E0:C5:C8:D3:D1,-45,-36,122,1476839292
5C:E0:C5:C8:D3:D1,-45,-36,185,1476839355
5C:E0:C5:C8:D3:D1,-45,-36,245,1476839415
5C:E0:C5:C8:D3:D1,-45,-36,305,1476839475
5C:E0:C5:C8:D3:D1,-45,-36,365,1476839535
